Date : 2022-06-16 20:14:18
Directory : d:\New folder (3)\Group__Project\frontend
Total : 82 files,  38443 codes, 154 comments, 777 blanks, all 39374 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| src\component\admin\role\viewRole                                                                                    |          2 |        144 |         18 |          5 |        167 |
| src\component\admin\user                                                                                             |          4 |        233 |         92 |          8 |        333 |
| src\component\admin\user\editUser                                                                                    |          2 |         87 |         92 |          6 |        185 |
| src\component\admin\user\viewUser                                                                                    |          2 |        146 |          0 |          2 |        148 |
| src\component\company                                                                                                |          2 |        275 |          1 |         40 |        316 |
| src\component\footer                                                                                                 |          1 |         57 |          0 |          4 |         61 |
| src\component\footerNew                                                                                              |          1 |        123 |          0 |         21 |        144 |
| src\component\form                                                                                                   |          7 |        534 |          1 |         77 |        612 |
| src\component\form\companyAcc                                                                                        |          1 |         33 |          0 |          2 |         35 |
| src\component\form\forgotPass                                                                                        |          2 |        155 |          0 |         17 |        172 |
| src\component\form\signin                                                                                            |          3 |        233 |          1 |         42 |        276 |
| src\component\form\signup                                                                                            |          1 |        113 |          0 |         16 |        129 |
| src\component\navBar                                                                                                 |          1 |        255 |          1 |          3 |        259 |
| src\component\navbarNew                                                                                              |          1 |        220 |          0 |         38 |        258 |
| src\component\seller                                                                                                 |         12 |      1,287 |          0 |        190 |      1,477 |
| src\component\seller\merchant                                                                                        |          6 |        642 |          0 |        102 |        744 |
| src\component\seller\merchant\addProfileDetails                                                                      |          2 |        242 |          0 |         29 |        271 |
| src\component\seller\merchant\profileView                                                                            |          2 |        139 |          0 |         33 |        172 |
| src\component\seller\merchant\updateProfileDetails                                                                   |          2 |        261 |          0 |         40 |        301 |
| src\component\seller\product                                                                                         |          6 |        645 |          0 |         88 |        733 |
| src\component\seller\product\prodAddForm                                                                             |          2 |        253 |          0 |         27 |        280 |
| src\component\seller\product\productView                                                                             |          2 |        135 |          0 |         37 |        172 |
| src\component\seller\product\productupdate                                                                           |          2 |        257 |          0 |         24 |        281 |
| src\component\sidebar                                                                                                |          3 |          6 |          0 |          5 |         11 |
| src\component\user                                                                                                   |          3 |        265 |          0 |         45 |        310 |
| src\component\user\shopping                                                                                          |          3 |        265 |          0 |         45 |        310 |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                             | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\New folder (3)\Group__Project\frontend\README.md                                                                  | Markdown   |         38 |          0 |         33 |         71 |
| d:\New folder (3)\Group__Project\frontend\firebase.json                                                              | JSON       |          9 |          0 |          1 |         10 |
| d:\New folder (3)\Group__Project\frontend\firestore.indexes.json                                                     | JSON       |          4 |          0 |          1 |          5 |
| d:\New folder (3)\Group__Project\frontend\package-lock.json                                                          | JSON       |     32,780 |          0 |          1 |     32,781 |
| d:\New folder (3)\Group__Project\frontend\package.json                                                               | JSON       |         62 |          0 |          1 |         63 |
| d:\New folder (3)\Group__Project\frontend\public\index.html                                                          | HTML       |         31 |         23 |          4 |         58 |
| d:\New folder (3)\Group__Project\frontend\public\manifest.json                                                       | JSON       |         25 |          0 |          1 |         26 |
| d:\New folder (3)\Group__Project\frontend\src\App.css                                                                | CSS        |         32 |          0 |          5 |         37 |
| d:\New folder (3)\Group__Project\frontend\src\App.js                                                                 | JavaScript |        125 |          1 |         30 |        156 |
| d:\New folder (3)\Group__Project\frontend\src\App.test.js                                                            | JavaScript |          7 |          0 |          2 |          9 |
| d:\New folder (3)\Group__Project\frontend\src\component\Announcement\announcement.js                                 | JavaScript |         20 |          0 |          4 |         24 |
| d:\New folder (3)\Group__Project\frontend\src\component\BuyerProtection\Buyer.css                                    | CSS        |        366 |          1 |         49 |        416 |
| d:\New folder (3)\Group__Project\frontend\src\component\BuyerProtection\Buyer.js                                     | JavaScript |         18 |          0 |          4 |         22 |
| d:\New folder (3)\Group__Project\frontend\src\component\Home\brands.js                                               | JavaScript |         32 |          0 |          8 |         40 |
| d:\New folder (3)\Group__Project\frontend\src\component\Home\categories.js                                           | JavaScript |         35 |          0 |          7 |         42 |
| d:\New folder (3)\Group__Project\frontend\src\component\Home\data.js                                                 | JavaScript |         92 |          0 |         19 |        111 |
| d:\New folder (3)\Group__Project\frontend\src\component\Home\intro.js                                                | JavaScript |         69 |          0 |         14 |         83 |
| d:\New folder (3)\Group__Project\frontend\src\component\Home\product.js                                              | JavaScript |         71 |          0 |          9 |         80 |
| d:\New folder (3)\Group__Project\frontend\src\component\Home\productItems.js                                         | JavaScript |         36 |          0 |          8 |         44 |
| d:\New folder (3)\Group__Project\frontend\src\component\Home\silder.js                                               | JavaScript |        110 |          0 |         15 |        125 |
| d:\New folder (3)\Group__Project\frontend\src\component\admin\adminNavbar\adminNavbar.css                            | CSS        |         23 |          0 |          1 |         24 |
| d:\New folder (3)\Group__Project\frontend\src\component\admin\adminNavbar\adminNavbar.js                             | JavaScript |         53 |          0 |          3 |         56 |
| d:\New folder (3)\Group__Project\frontend\src\component\admin\adminSidebar\adminSidebar.css                          | CSS        |         54 |          1 |          0 |         55 |
| d:\New folder (3)\Group__Project\frontend\src\component\admin\adminSidebar\adminSidebar.js                           | JavaScript |         70 |          0 |          2 |         72 |
| d:\New folder (3)\Group__Project\frontend\src\component\admin\category\addCategory\addcategory.css                   | CSS        |         53 |          0 |         11 |         64 |
| d:\New folder (3)\Group__Project\frontend\src\component\admin\category\addCategory\addcategory.js                    | JavaScript |         80 |          0 |          8 |         88 |
| d:\New folder (3)\Group__Project\frontend\src\component\admin\category\updateCategory\updateCategory.css             | CSS        |         58 |          0 |         14 |         72 |
| d:\New folder (3)\Group__Project\frontend\src\component\admin\category\updateCategory\updateCategory.js              | JavaScript |         78 |          0 |         11 |         89 |
| d:\New folder (3)\Group__Project\frontend\src\component\admin\category\viewCategory\viewCategory.css                 | CSS        |         64 |          0 |         15 |         79 |
| d:\New folder (3)\Group__Project\frontend\src\component\admin\category\viewCategory\viewCategory.js                  | JavaScript |         82 |          0 |         10 |         92 |
| d:\New folder (3)\Group__Project\frontend\src\component\admin\dashboard\dashboard.js                                 | JavaScript |          7 |          0 |          1 |          8 |
| d:\New folder (3)\Group__Project\frontend\src\component\admin\profile\profile.css                                    | CSS        |         66 |          0 |          0 |         66 |
| d:\New folder (3)\Group__Project\frontend\src\component\admin\profile\profile.js                                     | JavaScript |         56 |          0 |          7 |         63 |
| d:\New folder (3)\Group__Project\frontend\src\component\admin\role\addRole\addRole.css                               | CSS        |         55 |          1 |          0 |         56 |
| d:\New folder (3)\Group__Project\frontend\src\component\admin\role\addRole\addRole.js                                | JavaScript |         70 |          7 |         11 |         88 |
| d:\New folder (3)\Group__Project\frontend\src\component\admin\role\editRole\editRole.css                             | CSS        |         61 |          0 |          0 |         61 |
| d:\New folder (3)\Group__Project\frontend\src\component\admin\role\editRole\editRole.js                              | JavaScript |         77 |          0 |         15 |         92 |
| d:\New folder (3)\Group__Project\frontend\src\component\admin\role\viewRole\viewRole.css                             | CSS        |         58 |          0 |          1 |         59 |
| d:\New folder (3)\Group__Project\frontend\src\component\admin\role\viewRole\viewRole.js                              | JavaScript |         86 |         18 |          4 |        108 |
| d:\New folder (3)\Group__Project\frontend\src\component\admin\toast.js                                               | JavaScript |          9 |          0 |          1 |         10 |
| d:\New folder (3)\Group__Project\frontend\src\component\admin\user\editUser\editUser.css                             | CSS        |         69 |          0 |          2 |         71 |
| d:\New folder (3)\Group__Project\frontend\src\component\admin\user\editUser\editUser.js                              | JavaScript |         18 |         92 |          4 |        114 |
| d:\New folder (3)\Group__Project\frontend\src\component\admin\user\viewUser\veiwUser.js                              | JavaScript |         78 |          0 |          1 |         79 |
| d:\New folder (3)\Group__Project\frontend\src\component\admin\user\viewUser\viewUser.css                             | CSS        |         68 |          0 |          1 |         69 |
| d:\New folder (3)\Group__Project\frontend\src\component\company\company.css                                          | CSS        |        164 |          1 |         26 |        191 |
| d:\New folder (3)\Group__Project\frontend\src\component\company\company.js                                           | JavaScript |        111 |          0 |         14 |        125 |
| d:\New folder (3)\Group__Project\frontend\src\component\footerNew\footerNew.js                                       | JavaScript |        123 |          0 |         21 |        144 |
| d:\New folder (3)\Group__Project\frontend\src\component\footer\footer.js                                             | JavaScript |         57 |          0 |          4 |         61 |
| d:\New folder (3)\Group__Project\frontend\src\component\form\companyAcc\companyAcc.js                                | JavaScript |         33 |          0 |          2 |         35 |
| d:\New folder (3)\Group__Project\frontend\src\component\form\forgotPass\checkMail.js                                 | JavaScript |         58 |          0 |          7 |         65 |
| d:\New folder (3)\Group__Project\frontend\src\component\form\forgotPass\resetPass.js                                 | JavaScript |         97 |          0 |         10 |        107 |
| d:\New folder (3)\Group__Project\frontend\src\component\form\signin\auth.js                                          | JavaScript |         16 |          0 |          6 |         22 |
| d:\New folder (3)\Group__Project\frontend\src\component\form\signin\form.css                                         | CSS        |        136 |          0 |         23 |        159 |
| d:\New folder (3)\Group__Project\frontend\src\component\form\signin\form.signin.js                                   | JavaScript |         81 |          1 |         13 |         95 |
| d:\New folder (3)\Group__Project\frontend\src\component\form\signup\form.signup.js                                   | JavaScript |        113 |          0 |         16 |        129 |
| d:\New folder (3)\Group__Project\frontend\src\component\home.js                                                      | JavaScript |         17 |          0 |          4 |         21 |
| d:\New folder (3)\Group__Project\frontend\src\component\navBar\navBar.js                                             | JavaScript |        255 |          1 |          3 |        259 |
| d:\New folder (3)\Group__Project\frontend\src\component\navbarNew\navbarNew.js                                       | JavaScript |        220 |          0 |         38 |        258 |
| d:\New folder (3)\Group__Project\frontend\src\component\seller\merchant\addProfileDetails\addProfileDetails.css      | CSS        |         34 |          0 |         13 |         47 |
| d:\New folder (3)\Group__Project\frontend\src\component\seller\merchant\addProfileDetails\addProfileDetails.js       | JavaScript |        208 |          0 |         16 |        224 |
| d:\New folder (3)\Group__Project\frontend\src\component\seller\merchant\profileView\profileView.css                  | CSS        |         47 |          0 |         28 |         75 |
| d:\New folder (3)\Group__Project\frontend\src\component\seller\merchant\profileView\profileView.js                   | JavaScript |         92 |          0 |          5 |         97 |
| d:\New folder (3)\Group__Project\frontend\src\component\seller\merchant\updateProfileDetails\updateProfileDetail.css | CSS        |         47 |          0 |         29 |         76 |
| d:\New folder (3)\Group__Project\frontend\src\component\seller\merchant\updateProfileDetails\updateProfileDetail.js  | JavaScript |        214 |          0 |         11 |        225 |
| d:\New folder (3)\Group__Project\frontend\src\component\seller\product\prodAddForm\prodAddForm.css                   | CSS        |         46 |          0 |          8 |         54 |
| d:\New folder (3)\Group__Project\frontend\src\component\seller\product\prodAddForm\prodAddForm.js                    | JavaScript |        207 |          0 |         19 |        226 |
| d:\New folder (3)\Group__Project\frontend\src\component\seller\product\productView\productView.css                   | CSS        |         47 |          0 |         30 |         77 |
| d:\New folder (3)\Group__Project\frontend\src\component\seller\product\productView\productView.js                    | JavaScript |         88 |          0 |          7 |         95 |
| d:\New folder (3)\Group__Project\frontend\src\component\seller\product\productupdate\productUpdateForm.css           | CSS        |         46 |          0 |         10 |         56 |
| d:\New folder (3)\Group__Project\frontend\src\component\seller\product\productupdate\productUpdateForm.js            | JavaScript |        211 |          0 |         14 |        225 |
| d:\New folder (3)\Group__Project\frontend\src\component\sidebar\sidebar.css                                          | CSS        |          0 |          0 |          1 |          1 |
| d:\New folder (3)\Group__Project\frontend\src\component\sidebar\sidebar.js                                           | JavaScript |          6 |          0 |          2 |          8 |
| d:\New folder (3)\Group__Project\frontend\src\component\sidebar\sidebarData.js                                       | JavaScript |          0 |          0 |          2 |          2 |
| d:\New folder (3)\Group__Project\frontend\src\component\user\shopping\product.css                                    | CSS        |        111 |          0 |         29 |        140 |
| d:\New folder (3)\Group__Project\frontend\src\component\user\shopping\product.js                                     | JavaScript |         73 |          0 |          7 |         80 |
| d:\New folder (3)\Group__Project\frontend\src\component\user\shopping\products.js                                    | JavaScript |         81 |          0 |          9 |         90 |
| d:\New folder (3)\Group__Project\frontend\src\firebase.js                                                            | JavaScript |         10 |          0 |          2 |         12 |
| d:\New folder (3)\Group__Project\frontend\src\index.css                                                              | CSS        |         12 |          0 |          2 |         14 |
| d:\New folder (3)\Group__Project\frontend\src\index.js                                                               | JavaScript |         13 |          3 |          4 |         20 |
| d:\New folder (3)\Group__Project\frontend\src\logo.svg                                                               | XML        |          1 |          0 |          0 |          1 |
| d:\New folder (3)\Group__Project\frontend\src\reportWebVitals.js                                                     | JavaScript |         12 |          0 |          2 |         14 |
| d:\New folder (3)\Group__Project\frontend\src\setupTests.js                                                          | JavaScript |          1 |          4 |          1 |          6 |
| Total                                                                                                                |            |     38,443 |        154 |        777 |     39,374 |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
